class,precision,recall,f1-score,support
Apple Scab Leaf,0.6364,0.7,0.6667,10
Apple leaf,0.5,0.7778,0.6087,9
Apple rust leaf,0.8889,0.8,0.8421,10
Bell_pepper leaf spot,0.5,0.375,0.4286,8
Bell_pepper leaf,0.6667,0.2222,0.3333,9
Blueberry leaf,0.4286,0.2727,0.3333,11
Cherry leaf,0.5714,0.4,0.4706,10
Corn Gray leaf spot,0.2857,0.5,0.3636,4
Corn leaf blight,0.75,0.5,0.6,12
Corn rust leaf,0.7273,0.8,0.7619,10
Peach leaf,0.6364,0.7778,0.7,9
Potato leaf early blight,0.0,0.0,0.0,0
Potato leaf late blight,0.2727,0.375,0.3158,8
Potato leaf,0.3333,0.125,0.1818,8
Raspberry leaf,0.5385,1.0,0.7,7
Soyabean leaf,0.5,0.5,0.5,8
Soybean leaf,0.0,0.0,0.0,0
Squash Powdery mildew leaf,0.8571,0.75,0.8,8
Strawberry leaf,1.0,1.0,1.0,8
Tomato Early blight leaf,0.6,0.6667,0.6316,9
Tomato Septoria leaf spot,0.5625,0.8182,0.6667,11
Tomato leaf bacterial spot,0.4,0.25,0.3077,8
Tomato leaf late blight,0.1,0.1111,0.1053,9
Tomato leaf mosaic virus,0.5833,0.7,0.6364,10
Tomato leaf yellow virus,1.0,0.1,0.1818,10
Tomato leaf,0.7143,0.8333,0.7692,6
Tomato mold leaf,0.1429,0.3333,0.2,6
Tomato two spotted spider mites leaf,0.0,0.0,0.0,0
grape leaf black rot,0.9091,0.8333,0.8696,12
grape leaf,0.75,0.75,0.75,8
macro avg,0.5285,0.509,0.4908,238
weighted avg,0.6066,0.5672,0.555,238
